job_title,company_name,city,country,posted_date,employment_type,education,job_description,skills,job_url,first_seen,last_seen
Senior Data Center Cooling Solutions Engineer,johnson controls arabia,,Saudi Arabia,2026-09-11,Full-time,Bachelor,"Johnson Controls Arabia is seeking an experienced HVAC sales professional to identify and close opportunities in data centers and mission-critical facilities in Saudi Arabia. You will build strong relationships with owners, operators, consultants, and EPCs while designing cooling solutions with engineering teams and presenting proposals that address energy efficiency, redundancy, and reliability. The role requires a bachelor’s degree in mechanical engineering and 7+ years in HVAC sales, with a",[],https://en-sa.whatjobs.com/pub_api__cpl__10733267__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Data Engineer Intern — Real Production Data,تابي,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Tabby invites a high-potential intern to join the Data Platform & ML team in KSA for hands-on data engineering work. You will tackle real production tasks, contributor to data models, pipelines and quality checks, under senior review and mentoring. This is a full-time internship with growth into data engineering roles. We value strong SQL and Python foundations, familiarity with dbt, Airflow, BigQuery, and BI tools, plus a proactive, collaborative mindset and English documentation ability.","['airflow', 'bigquery', 'data engineering', 'dbt', 'machine learning', 'python', 'sql']",https://en-sa.whatjobs.com/pub_api__cpl__10733490__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Intern Data Engineer,تابي,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Intern Data Engineer Department: Data Platform & ML Employment Type: Internship Location: KSA Reporting To: Yahya Aloyoni Description Tabby builds financial products used by millions of users across the GCC. Data is a core part of how products, risk, finance and operations are built and scaled. Data is a core part of how products, risk, finance and operations are built and scaled. We work with large volumes of data under strict requirements for quality, cost efficiency and regulatory compliance. This is not a course and not a shadowing programme. It is an engineering role with real responsibility. Data engineers at Tabby work on the analytics and data platforms behind business decisions, product development and machine learning use cases. That covers data modelling, data pipelines, data quality and consumption by several internal teams. The internship is designed for strong","['airflow', 'analytics', 'bigquery', 'cloud', 'data engineering', 'data modeling', 'data pipelines', 'data quality', 'data visualization', 'data warehousing', 'dbt', 'git', 'machine learning', 'python', 'regulatory compliance', 'sql', 'workflow orchestration']",https://en-sa.whatjobs.com/pub_api__cpl__10733710__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Senior Data Engineer: Lakehouse & AI Platform Lead,Intelmatix,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Intelmatix seeks a Senior Data Engineer to architect and deliver an enterprise-grade Data Lakehouse for AI-ready analytics. You will design scalable data pipelines, ensure data quality, and build a secure platform compliant with national standards in Saudi Arabia. Based in Riyadh, you will lead a co-build effort with client teams, mentor engineers, and create runbooks to enable long-term operational ownership. Strong in Spark, cloud architectures, and data governance is required.","['ai', 'analytics', 'cloud', 'data governance', 'data lakehouse', 'data pipelines', 'data quality', 'governance', 'lakehouse', 'spark']",https://en-sa.whatjobs.com/pub_api__cpl__10734456__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Software Engineer - District Cooling Systems,OpenTalent,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Parsons in the Airport Systems unit is seeking a District Cooling Engineer focused on software to design, develop and maintain scalable software systems for critical infrastructure. You will write clean, well-tested code, participate in code reviews and contribute to engineering best practices, while collaborating with product and design teams to deliver features using solid design patterns and architectures.",['design patterns'],https://en-sa.whatjobs.com/pub_api__cpl__10733726__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
"Staff Software Engineer: Microservices, Kafka & Data Systems",Michael Page,Riyadh,Saudi Arabia,2026-09-11,Full-time,,"Client of Michael Page seeks a Staff Software Engineer in Riyadh to lead modernisation efforts, design distributed data solutions, and mentor engineers. You will collaborate with cross-functional teams to align software with business needs and ensure system reliability in a production environment. The role emphasizes legacy modernization, microservices migration, and building scalable data architectures within an ERP/SaaS context in a large Tech environment.","['erp', 'microservices', 'saas']",https://en-sa.whatjobs.com/pub_api__cpl__10734089__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Software Developer,Modern Mills Company,Jeddah,Saudi Arabia,2026-09-11,Full-time,,The role is responsible for developing maintaining and improving all in-house NET applications and services The candidate will manage and enhance the company s intranet portal build and support integrations using NET technologies and contribute to microservices development The role also includes front-end work using JavaScript SharePoint customization and administration and mobile application design The goal is to deliver stable secure and scalable solutions that support daily business operations and future growth Key Accountabilities Develop maintain and enhance all internal NET applications to ensure smooth and reliable operations Design and manage the organization s intranet portal including new features UI updates and performance improvements Build and support system integrations using NET frameworks APIs and web services Develop and maintain microservices to improve scalability performance and modularity of internal,"['api', 'dotnet', 'front end', 'javascript', 'microservices', 'sharepoint', 'ui', 'version control']",https://en-sa.whatjobs.com/pub_api__cpl__10734234__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Staff Software Engineer,Michael Page,Riyadh,Saudi Arabia,2026-09-11,Contract,,Work with a leading emerging Tech company Sector Technology Subsector IT Development Industry Technology amp Telecoms Location Riyadh. Contract type Permanent. Consultant name Farhan Khan. Job reference JN-PHONE NUMBER. Benefits Attractive salary with family benefits and relocation allowance if applicable. Comprehensive medical coverage. Schooling benefits for dependents. Attractive Package with Family Benefits and Relocation if applicable. Responsibilities Lead the modernisation of legacy systems to improve performance and scalability. Design and implement distributed data solutions. Collaborate with cross-functional teams to align software solutions with business needs. Ensure the reliability and efficiency of software systems. Identify and resolve technical challenges in system architecture. Contribute to the development of technical,"['erp', 'java', 'kafka', 'microservices', 'saas', 'spring']",https://en-sa.whatjobs.com/pub_api__cpl__10734327__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
QA Specialist,Naphora Games Group,,Saudi Arabia,2026-09-11,Full-time,,"At Naphora Games Group , we’re building more than games, we’re building a global team of ambitious, driven people who are hungry to learn, experiment, and raise the bar for the next generation of games. We collaborate openly, move fast, and challenge ourselves every day to build better, smarter, and faster. Our goal is to create world-class games that players around the globe love and remember. If you thrive in a high-performance, ownership-driven environment and want to make a real impact, you’ll fit right in with us. Role Summary We’re looking for a QA Specialist to join our growing team at Naphora Games Group and help us deliver high-quality mobile games. You’ll work hands-on with game builds, features, prototypes, and releases, helping ensure our games are stable, polished, and ready for players by identifying and documenting issues, validating fixes, and testing the overall player","['analytics', 'android', 'automation', 'game development', 'ios', 'jira', 'miro', 'qa', 'test automation', 'unity']",https://job-boards.eu.greenhouse.io/alemnafora/jobs/4974299101?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
Podcast Video Editor - SaaS,jobgether,,Saudi Arabia,2026-09-11,Full-time,,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Podcast Video Editor - SaaS based in Saudi Arabia. This role is an opportunity to shape high-quality, YouTube-first podcast content through polished and engaging video editing. You will transform multi-camera recordings into compelling long-form episodes, typically ranging from 60 to 90 minutes. The position combines precise editing, dynamic pacing, audio quality and visual storytelling to keep audiences engaged throughout each episode. You will also identify strong moments for social media and prepare rough vertical cutdowns for short-form distribution. Working within an established creative workflow, you will receive structured feedback while maintaining organised project files that support efficient final production. Strong performance on the initial project can lead to an ongoing creative partnership as the podcast","['ai', 'gdpr', 'premiere pro', 'saas', 'video editing']",https://jobs.lever.co/jobgether/991aa62f-5434-4f13-97b1-590c1a9f248a?utm_source=freehire.me,2026-09-13T07:07:15.573832+00:00,2026-09-13T07:07:15.573832+00:00
