job_title,company_name,city,country,posted_date,employment_type,education,job_description,skills,job_url,first_seen,last_seen
Engineering Manager - Deployment Engineering,Cohere,,Saudi Arabia,2026-08-05,Full-time,,"We're looking for an Engineering Manager to lead our Deployment Engineering team in the Middle East. This isn't a typical management role - we need someone who thrives in a fast-paced, high-growth environment and leads from the front: technically sharp, hands...",[],https://jooble.org/jdp/-4289022229007846954,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
AI Engineer,Uxbert Labs,,Saudi Arabia,2026-08-05,Full-time,,"The Role We are seeking a talented AI Engineer to join our team and bridge the gap between innovative ideas and real-world applications. In this role, you will focus on applying existing AI models and tools to develop practical systems, rather than creating new AI algorithms...",['ai'],https://jooble.org/jdp/4795485614960778348,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Senior Backend Engineer - Checkout,Salla,,Saudi Arabia,2026-08-05,Full-time,,"The Role We are looking for a Senior Backend Engineer - Checkout to join our engineering team focused on Fintech, Checkout, and Promotions... ...problems, building high-performance services, and designing software that operates reliably at scale. You'll work closely with Product...",['backend'],https://jooble.org/jdp/-3238804471875703928,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Enterprise Solutions Engineer,Valor Capital Group,,Saudi Arabia,2026-08-20,Full-time,,"...builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to... ...Proficiency in Python, inclusive of a deep understanding of software development, software architecture, and common integration patterns...","['python', 'software architecture']",https://jooble.org/jdp/4811411030617440430,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Systems Engineer,Azeus Convene,,Saudi Arabia,2026-08-05,Full-time,,"Azeus Systems Limited is looking for a Systems Engineer to be part of our growing support team for our product, Azeus Convene. Azeus Convene is a multi-awarded meeting and collaboration solution for Boards and Leadership Teams. Our client base has grown exponentially,...",[],https://jooble.org/jdp/-117181269789385216,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Evaluation Engineer,Salla,,Saudi Arabia,2026-08-05,Full-time,,"We run production multi-agent systems that handle real work for a large base of users. As those systems grow, our biggest constraint is confidence: we need to know how well the agents perform, catch regressions before they ship, and keep quality steady as...",[],https://jooble.org/jdp/-4934464868143797508,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Engineering Manager for the Catalog team,Salla,,Saudi Arabia,2026-08-05,Full-time,,"We're hiring an Engineering Manager for the Catalog team the system of record for every product sold on the platform. The team owns the product data model, taxonomy and attribution, data quality, and the browse and filtration experience that turns catalog data into discovery...",['data quality'],https://jooble.org/jdp/-7969602954474944406,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Senior Quality and Technical Operation Analyst,Salla,,Saudi Arabia,2025-09-23,Full-time,,"...reports such as SLA reports, Operational Excellence reports, Graylog reports, and additional performance-related reports. Analyze data to identify trends, issues, and areas for improvement. Collaborate with different teams to understand their reporting needs and...",[],https://jooble.org/jdp/-7565399392703829078,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Senior Cyber Security Consultant,Immersivelabs,,Saudi Arabia,2026-08-26,Full-time,,"...customer lifecycle - from pre-sales to post-sales and professional services - to join our growing Customer Success team as a Senior Cyber Security Consultant based in Saudi Arabia, covering the METNA region. In this role, you will be the consistent value champion for...",['cyber security'],https://jooble.org/jdp/-5398076980862755131,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Forward Deployed Engineer - Software Engineer,Elevenlabs,,Saudi Arabia,2026-08-17,Full-time,,"...builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to... ...on a technical capacity - Proficiency in Python and strong software development knowledge, inclusive of a deep understanding of software...",['python'],https://jooble.org/jdp/3340566253261210746,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
Enterprise Solutions Engineer,Elevenlabs,,Saudi Arabia,2026-08-20,Full-time,,"...do is the result of the creativity and commitment of our team - builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to work hard and create lasting positive impact, we want to hear from you...",[],https://jooble.org/jdp/-3265877045336877283,2026-09-13T07:07:05.357259+00:00,2026-09-13T07:07:05.357259+00:00
