job_title,company_name,city,country,posted_date,employment_type,education,job_description,skills,job_url
Engineering Manager - Deployment Engineering,Cohere,,Saudi Arabia,2026-08-05,Full-time,,"We're looking for an Engineering Manager to lead our Deployment Engineering team in the Middle East. This isn't a typical management role - we need someone who thrives in a fast-paced, high-growth environment and leads from the front: technically sharp, hands...",,https://jooble.org/jdp/-4289022229007846954
AI Engineer,Uxbert Labs,,Saudi Arabia,2026-08-05,Full-time,,"The Role We are seeking a talented AI Engineer to join our team and bridge the gap between innovative ideas and real-world applications. In this role, you will focus on applying existing AI models and tools to develop practical systems, rather than creating new AI algorithms...",ai,https://jooble.org/jdp/4795485614960778348
Senior Backend Engineer - Checkout,Salla,,Saudi Arabia,2026-08-05,Full-time,,"The Role We are looking for a Senior Backend Engineer - Checkout to join our engineering team focused on Fintech, Checkout, and Promotions... ...problems, building high-performance services, and designing software that operates reliably at scale. You'll work closely with Product...",backend,https://jooble.org/jdp/-3238804471875703928
Enterprise Solutions Engineer,Valor Capital Group,,Saudi Arabia,2026-08-20,Full-time,,"...builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to... ...Proficiency in Python, inclusive of a deep understanding of software development, software architecture, and common integration patterns...","python, software architecture",https://jooble.org/jdp/4811411030617440430
Systems Engineer,Azeus Convene,,Saudi Arabia,2026-08-05,Full-time,,"Azeus Systems Limited is looking for a Systems Engineer to be part of our growing support team for our product, Azeus Convene. Azeus Convene is a multi-awarded meeting and collaboration solution for Boards and Leadership Teams. Our client base has grown exponentially,...",,https://jooble.org/jdp/-117181269789385216
Evaluation Engineer,Salla,,Saudi Arabia,2026-08-05,Full-time,,"We run production multi-agent systems that handle real work for a large base of users. As those systems grow, our biggest constraint is confidence: we need to know how well the agents perform, catch regressions before they ship, and keep quality steady as...",,https://jooble.org/jdp/-4934464868143797508
Engineering Manager for the Catalog team,Salla,,Saudi Arabia,2026-08-05,Full-time,,"We're hiring an Engineering Manager for the Catalog team the system of record for every product sold on the platform. The team owns the product data model, taxonomy and attribution, data quality, and the browse and filtration experience that turns catalog data into discovery...",data quality,https://jooble.org/jdp/-7969602954474944406
Senior Quality and Technical Operation Analyst,Salla,,Saudi Arabia,2025-09-23,Full-time,,"...reports such as SLA reports, Operational Excellence reports, Graylog reports, and additional performance-related reports. Analyze data to identify trends, issues, and areas for improvement. Collaborate with different teams to understand their reporting needs and...",,https://jooble.org/jdp/-7565399392703829078
Senior Cyber Security Consultant,Immersivelabs,,Saudi Arabia,2026-08-26,Full-time,,"...customer lifecycle - from pre-sales to post-sales and professional services - to join our growing Customer Success team as a Senior Cyber Security Consultant based in Saudi Arabia, covering the METNA region. In this role, you will be the consistent value champion for...",cyber security,https://jooble.org/jdp/-5398076980862755131
Forward Deployed Engineer - Software Engineer,Elevenlabs,,Saudi Arabia,2026-08-17,Full-time,,"...builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to... ...on a technical capacity - Proficiency in Python and strong software development knowledge, inclusive of a deep understanding of software...",python,https://jooble.org/jdp/3340566253261210746
Enterprise Solutions Engineer,Elevenlabs,,Saudi Arabia,2026-08-20,Full-time,,"...do is the result of the creativity and commitment of our team - builders doing the best work of their lives. We are researchers, engineers, and operators. IOI medalists and ex-founders. If you want to work hard and create lasting positive impact, we want to hear from you...",,https://jooble.org/jdp/-3265877045336877283
"Software Engineer, Platform - Montgomery, USA",Speechify,,Saudi Arabia,2026-02-28,Full-time,PhD,"...people around the globe work on Speechify in a 100% distributed setting Speechify has no office. These include frontend and backend engineers, AI research scientists, and others from Amazon, Microsoft, and Google, leading PhD programs like Stanford, high growth startups...","ai, backend, frontend",https://jooble.org/jdp/-5604797539238399283
Senior AWS Full Stack Software Engineer,,,Saudi Arabia,2026-08-21,Full-time,,"Senior AWS Full Stack Software Engineer Position Description CGI is seeking a Senior AWS Full Stack Software Engineer to develop, modernize, and support enterprise applications within a large scale, AWS focused financial services environment. This is a hands-on...","aws, full stack",https://jooble.org/jdp/-6826259086705899295
Senior API Platform Software Engineer,System One,,Saudi Arabia,2026-08-28,Full-time,,"...Job Title - Senior API Platform Software Engineer Locations: Lafayette, LA | Knoxville, TN | Birmingham, AL | Columbia, SC Work Arrangement: Hybrid Employment Type: Full time Experience Required: 5+ years Position Overview We are seeking a Senior...",,https://jooble.org/jdp/4531332339882019786
Software Engineer Remote,Kforce Technology Staffing,,Saudi Arabia,2026-09-04,Full-time,,....NET Framework ASP.NET C Git Support OpenShift SQL Security AI LESS More: We are seeking a Software Engineer to join our fully remote team focused on remediating application security vulnerabilities across a portfolio of enterprise banking...,"ai, application security, aspnet, git, net, openshift, sql",https://jooble.org/desc/3527968440994489457
